Date,Merchant,Category,Amount,Card_Used
2023-12-05,Red Lobster,restaurant,118.11,amex-gold
2023-12-06,Starbucks,restaurant,134.74,capital-one-savor
2023-12-10,Kroger,grocery,155.46,citi-custom-cash
2023-12-10,Chipotle,restaurant,138.84,citi-custom-cash
2023-12-10,McDonald's,restaurant,109.48,citi-custom-cash
2023-12-15,The Cheesecake Factory,restaurant,64.03,amex-gold
2023-12-16,Subway,restaurant,125.52,amex-gold
2023-12-17,Walmart,grocery,102.34,capital-one-savor
2023-12-17,Amtrak,transportation,30.78,wells-fargo-autograph
2023-12-17,McDonald's,restaurant,96.27,amex-gold
2023-12-19,Red Lobster,restaurant,45.22,amex-gold
2023-12-20,Olive Garden,restaurant,122.19,citi-custom-cash
2023-12-21,Taco Bell,restaurant,137.23,citi-custom-cash
2023-12-24,Whole Foods,grocery,111.61,chase-sapphire-preferred
2023-12-26,Red Lobster,restaurant,71.05,citi-custom-cash
2023-12-27,Starbucks,restaurant,108.29,capital-one-savor
2023-12-30,McDonald's,restaurant,65.79,wells-fargo-autograph
2023-12-30,Olive Garden,restaurant,71.53,citi-premier
2023-12-31,Costco,grocery,129.14,citi-custom-cash
2023-12-31,BP Gas,transportation,80.01,citi-custom-cash
2023-12-31,Red Lobster,restaurant,130.68,wells-fargo-autograph
2023-12-31,Chick-fil-A,restaurant,87.69,amex-gold
2024-01-01,Chipotle,restaurant,26.2,capital-one-savor
2024-01-07,Kroger,grocery,118.88,amex-blue-cash-preferred
2024-01-07,Subway,restaurant,21.3,amex-gold
2024-01-07,Chick-fil-A,restaurant,31.17,citi-custom-cash
2024-01-09,McDonald's,restaurant,68.23,amex-gold
2024-01-11,Taco Bell,restaurant,62.56,wells-fargo-autograph
2024-01-14,Kroger,grocery,150.41,citi-custom-cash
2024-01-14,Chevron,transportation,81.05,bofa-customized-cash
2024-01-19,Chick-fil-A,restaurant,141.72,citi-custom-cash
2024-01-19,McDonald's,restaurant,71.65,capital-one-savor
2024-01-20,Chipotle,restaurant,35.77,amex-gold
2024-01-21,Aldi,grocery,191.69,chase-sapphire-preferred
2024-01-22,Amtrak,transportation,411.73,wells-fargo-autograph
2024-01-23,The Cheesecake Factory,restaurant,13.04,citi-custom-cash
2024-01-25,The Cheesecake Factory,restaurant,137.52,citi-custom-cash
2024-01-26,Olive Garden,restaurant,42.21,capital-one-savor
2024-01-28,Safeway,grocery,161.05,citi-double-cash
2024-01-28,BP Gas,transportation,84.45,capital-one-quicksilver
2024-01-28,Sheraton,hotel,277.81,chase-sapphire-reserve
2024-01-30,Chick-fil-A,restaurant,37.17,amex-gold
2024-02-01,Panera Bread,restaurant,110.34,amex-gold
2024-02-02,Chick-fil-A,restaurant,22.91,capital-one-savor
2024-02-03,Olive Garden,restaurant,23.17,amex-gold
2024-02-04,Safeway,grocery,245.68,amex-blue-cash-preferred
2024-02-04,Red Lobster,restaurant,139.14,citi-custom-cash
2024-02-10,Panera Bread,restaurant,140.9,bofa-premium-rewards
2024-02-10,Subway,restaurant,15.75,citi-custom-cash
2024-02-11,Costco,grocery,183.8,amex-blue-cash-preferred
2024-02-11,Lyft,transportation,40.93,citi-custom-cash
2024-02-14,The Cheesecake Factory,restaurant,132.31,amex-gold
2024-02-15,Chipotle,restaurant,44.41,citi-custom-cash
2024-02-16,Amtrak,transportation,427.47,citi-custom-cash
2024-02-16,Olive Garden,restaurant,37.84,capital-one-savor
2024-02-18,Target,grocery,217.17,amex-blue-cash-preferred
2024-02-22,Panera Bread,restaurant,35.83,citi-custom-cash
2024-02-22,Olive Garden,restaurant,41.61,capital-one-savor
2024-02-23,McDonald's,restaurant,136.14,amex-gold
2024-02-25,Safeway,grocery,222.79,amex-gold
2024-02-25,Uber,transportation,26.65,citi-custom-cash
2024-02-29,Taco Bell,restaurant,143.99,amex-gold
2024-02-29,Starbucks,restaurant,12.09,capital-one-savor
2024-03-01,Olive Garden,restaurant,50.81,capital-one-savor
2024-03-03,Trader Joes,grocery,204.51,chase-freedom-flex
2024-03-07,Chick-fil-A,restaurant,65.16,citi-custom-cash
2024-03-08,The Cheesecake Factory,restaurant,99.09,citi-premier
2024-03-09,The Cheesecake Factory,restaurant,106.5,capital-one-savor
2024-03-10,Aldi,grocery,160.47,citi-custom-cash
2024-03-10,76 Gas,transportation,45.63,wells-fargo-active-cash
2024-03-12,Taco Bell,restaurant,67.07,wells-fargo-autograph
2024-03-12,Chick-fil-A,restaurant,14.02,citi-custom-cash
2024-03-12,McDonald's,restaurant,8.65,amex-gold
2024-03-14,Radisson,hotel,431.66,chase-sapphire-reserve
2024-03-17,Kroger,grocery,103.55,chase-freedom-flex
2024-03-17,McDonald's,restaurant,109.11,citi-custom-cash
2024-03-20,The Cheesecake Factory,restaurant,63.12,amex-gold
2024-03-22,McDonald's,restaurant,90.5,chase-freedom-unlimited
2024-03-24,Costco,grocery,143.26,amex-gold
2024-03-24,Chevron,transportation,70.18,chase-sapphire-preferred
2024-03-24,McDonald's,restaurant,46.68,wells-fargo-autograph
2024-03-25,McDonald's,restaurant,55.28,chase-freedom-unlimited
2024-03-26,Olive Garden,restaurant,57.96,amex-gold
2024-03-27,Panera Bread,restaurant,143.24,amex-gold
2024-03-31,Trader Joes,grocery,246.61,amex-gold
2024-04-02,Starbucks,restaurant,133.76,amex-gold
2024-04-05,Chipotle,restaurant,12.18,capital-one-savor
2024-04-06,Chipotle,restaurant,137.48,citi-premier
2024-04-07,Target,grocery,233.42,amex-gold
2024-04-07,76 Gas,transportation,56.02,chase-sapphire-preferred
2024-04-07,Chick-fil-A,restaurant,17.12,amex-gold
2024-04-10,Taco Bell,restaurant,41.64,citi-custom-cash
2024-04-11,Chipotle,restaurant,138.35,citi-premier
2024-04-13,Subway,restaurant,84.27,amex-gold
2024-04-14,Safeway,grocery,125.9,amex-gold
2024-04-14,McDonald's,restaurant,148.1,citi-premier
2024-04-17,Panera Bread,restaurant,141.64,amex-gold
2024-04-17,Taco Bell,restaurant,147.52,amex-gold
2024-04-21,Target,grocery,225.32,amex-blue-cash-preferred
2024-04-21,76 Gas,transportation,23.84,wells-fargo-autograph
2024-04-22,Sheraton,hotel,260.52,amex-gold
2024-04-24,Panera Bread,restaurant,17.19,bofa-premium-rewards
2024-04-25,Starbucks,restaurant,11.7,amex-gold
2024-04-26,Chipotle,restaurant,97.58,capital-one-savor
2024-04-26,Starbucks,restaurant,46.56,citi-custom-cash
2024-04-28,Walmart,grocery,159.31,citi-custom-cash
2024-04-28,Starbucks,restaurant,26.4,bofa-premium-rewards
2024-05-02,Subway,restaurant,123.76,citi-custom-cash
2024-05-03,The Cheesecake Factory,restaurant,34.51,capital-one-savor
2024-05-03,Chipotle,restaurant,16.5,wells-fargo-autograph
2024-05-05,Target,grocery,241.69,amex-blue-cash-preferred
2024-05-05,Uber,transportation,68.94,bofa-customized-cash
2024-05-05,Subway,restaurant,61.93,capital-one-savor
2024-05-08,The Cheesecake Factory,restaurant,125.56,amex-gold
2024-05-11,Taco Bell,restaurant,65.84,capital-one-savor
2024-05-12,Walmart,grocery,149.34,amex-blue-cash-preferred
2024-05-12,Panera Bread,restaurant,131.87,wells-fargo-autograph
2024-05-13,McDonald's,restaurant,102.51,amex-gold
2024-05-15,McDonald's,restaurant,147.64,capital-one-savor
2024-05-17,Panera Bread,restaurant,14.69,capital-one-savor
2024-05-19,Target,grocery,232.82,citi-custom-cash
2024-05-19,Shell Gas Station,transportation,28.74,wells-fargo-active-cash
2024-05-19,The Cheesecake Factory,restaurant,106.27,bofa-premium-rewards
2024-05-19,Subway,restaurant,128.73,chase-sapphire-preferred
2024-05-20,Taco Bell,restaurant,21.94,citi-custom-cash
2024-05-24,Hyatt,hotel,442.3,capital-one-venture
2024-05-26,Walmart,grocery,118.42,citi-custom-cash
2024-05-26,Panera Bread,restaurant,16.79,amex-gold
2024-05-28,Subway,restaurant,50.29,amex-gold
2024-05-29,Red Lobster,restaurant,80.44,wells-fargo-autograph
2024-05-31,Red Lobster,restaurant,81.92,citi-custom-cash
2024-06-02,Whole Foods,grocery,88.95,citi-double-cash
2024-06-02,Lyft,transportation,59.0,citi-custom-cash
2024-06-04,Panera Bread,restaurant,25.88,capital-one-savor
2024-06-04,Chipotle,restaurant,61.13,citi-custom-cash
2024-06-08,Red Lobster,restaurant,100.91,amex-gold
2024-06-09,Safeway,grocery,90.51,citi-double-cash
2024-06-10,Olive Garden,restaurant,125.48,citi-custom-cash
2024-06-11,The Cheesecake Factory,restaurant,145.33,amex-gold
2024-06-13,Subway,restaurant,117.61,amex-gold
2024-06-14,Chick-fil-A,restaurant,84.4,citi-custom-cash
2024-06-16,Whole Foods,grocery,101.67,wells-fargo-active-cash
2024-06-16,BP Gas,transportation,53.76,wells-fargo-autograph
2024-06-17,The Cheesecake Factory,restaurant,59.9,amex-gold
2024-06-18,Chick-fil-A,restaurant,137.75,capital-one-savor
2024-06-19,Starbucks,restaurant,120.33,citi-custom-cash
2024-06-21,Panera Bread,restaurant,52.86,amex-gold
2024-06-23,Walmart,grocery,155.11,citi-double-cash
2024-06-24,Olive Garden,restaurant,27.33,chase-freedom-unlimited
2024-06-26,McDonald's,restaurant,132.96,amex-gold
2024-06-27,Subway,restaurant,105.54,amex-gold
2024-06-27,McDonald's,restaurant,58.52,bofa-premium-rewards
2024-06-30,Aldi,grocery,156.21,capital-one-savor
2024-06-30,BP Gas,transportation,40.41,citi-custom-cash
2024-07-01,The Cheesecake Factory,restaurant,30.23,wells-fargo-autograph
2024-07-02,Hyatt,hotel,431.76,capital-one-venture
2024-07-02,Olive Garden,restaurant,19.04,capital-one-savor
2024-07-04,Chick-fil-A,restaurant,44.96,capital-one-savor
2024-07-05,Red Lobster,restaurant,19.39,citi-premier
2024-07-07,Walmart,grocery,80.74,amex-gold
2024-07-07,Subway,restaurant,14.79,citi-custom-cash
2024-07-13,The Cheesecake Factory,restaurant,39.43,capital-one-savor
2024-07-13,Chick-fil-A,restaurant,53.51,capital-one-savor
2024-07-14,Kroger,grocery,199.81,chase-sapphire-preferred
2024-07-14,Lyft,transportation,75.29,citi-double-cash
2024-07-14,McDonald's,restaurant,16.18,amex-gold
2024-07-15,Chipotle,restaurant,83.74,capital-one-savor
2024-07-16,Chick-fil-A,restaurant,73.92,citi-premier
2024-07-21,Whole Foods,grocery,145.96,citi-custom-cash
2024-07-21,Taco Bell,restaurant,123.1,citi-custom-cash
2024-07-21,Red Lobster,restaurant,57.38,capital-one-savor
2024-07-24,The Cheesecake Factory,restaurant,105.85,citi-custom-cash
2024-07-27,Red Lobster,restaurant,57.09,amex-gold
2024-07-28,Target,grocery,221.61,amex-gold
2024-07-28,Amtrak,transportation,66.58,citi-custom-cash
2024-07-28,Olive Garden,restaurant,103.33,capital-one-savor
2024-07-31,Olive Garden,restaurant,78.06,amex-gold
2024-08-02,Chick-fil-A,restaurant,125.77,amex-gold
2024-08-04,Trader Joes,grocery,97.88,chase-sapphire-preferred
2024-08-04,Chick-fil-A,restaurant,19.15,citi-custom-cash
2024-08-05,Sheraton,hotel,291.84,chase-sapphire-preferred
2024-08-06,Red Lobster,restaurant,139.77,amex-gold
2024-08-06,McDonald's,restaurant,64.32,chase-sapphire-preferred
2024-08-08,Amtrak,transportation,262.43,bofa-customized-cash
2024-08-09,Panera Bread,restaurant,139.16,citi-custom-cash
2024-08-11,Whole Foods,grocery,230.12,amex-gold
2024-08-11,Amtrak,transportation,48.08,wells-fargo-autograph
2024-08-12,Taco Bell,restaurant,111.04,chase-sapphire-preferred
2024-08-14,Chipotle,restaurant,60.37,amex-gold
2024-08-16,McDonald's,restaurant,99.14,chase-freedom-unlimited
2024-08-18,Trader Joes,grocery,160.73,chase-sapphire-preferred
2024-08-18,Starbucks,restaurant,117.22,amex-gold
