Date,Merchant,Category,Amount
2023-01-26,Whole Foods,grocery,136.87
2023-01-26,McDonald's,restaurant,49.92
2023-01-26,Metro Transit,transportation,42.33
2023-01-27,Holiday Inn,hotel,291.99
2023-01-28,Holiday Inn,hotel,254.89
2023-01-28,Safeway,grocery,19.24
2023-01-29,Safeway,grocery,67.42
2023-01-29,Panera Bread,restaurant,57.26
2023-01-30,The Cheesecake Factory,restaurant,79.02
2023-01-30,Subway,restaurant,63.31
2023-01-31,Amtrak,transportation,8.6
2023-01-31,Chevron,transportation,51.65
2023-01-31,Lyft,transportation,32.29
2023-01-31,Starbucks,restaurant,43.85
2023-02-01,BP Gas,transportation,70.85
2023-02-01,Metro Transit,transportation,39.24
2023-02-02,Target,grocery,192.71
2023-02-02,Red Lobster,restaurant,147.81
2023-02-03,Walmart,grocery,146.12
2023-02-03,The Cheesecake Factory,restaurant,143.35
2023-02-04,Aldi,grocery,19.38
2023-02-04,Marriott,hotel,187.22
2023-02-05,Panera Bread,restaurant,105.54
2023-02-06,Best Western,hotel,234.58
2023-02-06,Costco,grocery,171.04
2023-02-07,Walmart,grocery,64.17
2023-02-07,Hyatt,hotel,264.77
2023-02-08,Kroger,grocery,44.92
2023-02-08,Metro Transit,transportation,21.04
2023-02-09,Whole Foods,grocery,126.85
2023-02-09,Best Western,hotel,145.88
2023-02-09,Marriott,hotel,348.58
2023-02-10,Chevron,transportation,81.96
2023-02-10,Starbucks,restaurant,118.54
2023-02-10,Uber,transportation,73.67
2023-02-10,Whole Foods,grocery,244.28
2023-02-11,Subway,restaurant,141.41
2023-02-11,Chevron,transportation,73.86
2023-02-12,Target,grocery,117.44
2023-02-13,Radisson,hotel,155.88
2023-02-13,Metro Transit,transportation,66.08
2023-02-13,Chevron,transportation,52.84
2023-02-13,Panera Bread,restaurant,103.09
2023-02-13,Amtrak,transportation,80.77
2023-02-13,Kroger,grocery,101.84
2023-02-13,Radisson,hotel,146.61
2023-02-14,Best Western,hotel,244.49
2023-02-14,Radisson,hotel,204.34
2023-02-15,Costco,grocery,155.49
2023-02-15,Starbucks,restaurant,11.2
2023-02-16,Lyft,transportation,51.03
2023-02-16,76 Gas,transportation,67.55
2023-02-16,Aldi,grocery,112.11
2023-02-17,Comfort Inn,hotel,135.65
2023-02-17,Trader Joes,grocery,115.05
2023-02-17,Costco,grocery,26.36
2023-02-18,Walmart,grocery,115.31
2023-02-18,Kroger,grocery,121.65
2023-02-18,Kroger,grocery,109.64
2023-02-20,Lyft,transportation,64.87
2023-02-20,Chick-fil-A,restaurant,58.56
2023-02-21,Lyft,transportation,23.09
2023-02-21,Lyft,transportation,32.53
2023-02-21,Marriott,hotel,286.19
2023-02-21,Holiday Inn,hotel,184.31
2023-02-22,Chick-fil-A,restaurant,132.83
2023-02-22,Chick-fil-A,restaurant,108.74
2023-02-22,76 Gas,transportation,61.58
2023-02-22,Best Western,hotel,284.69
2023-02-23,Amtrak,transportation,67.82
2023-02-23,Target,grocery,135.57
2023-02-24,Best Western,hotel,171.06
2023-02-24,McDonald's,restaurant,111.92
2023-02-24,Holiday Inn,hotel,118.65
2023-02-25,Aldi,grocery,217.91
2023-02-25,Radisson,hotel,285.51
2023-02-26,Starbucks,restaurant,27.12
2023-02-26,76 Gas,transportation,56.21
2023-02-27,Sheraton,hotel,341.05
2023-02-27,Walmart,grocery,20.8
2023-02-28,76 Gas,transportation,23.73
2023-03-01,Red Lobster,restaurant,124.31
2023-03-01,Comfort Inn,hotel,103.43
2023-03-02,Kroger,grocery,167.47
2023-03-02,Starbucks,restaurant,38.29
2023-03-02,The Cheesecake Factory,restaurant,24.42
2023-03-02,Hilton,hotel,153.56
2023-03-03,Red Lobster,restaurant,21.04
2023-03-03,Kroger,grocery,159.19
2023-03-04,Walmart,grocery,99.15
2023-03-04,Comfort Inn,hotel,302.18
2023-03-05,Amtrak,transportation,15.69
2023-03-05,Chipotle,restaurant,104.27
2023-03-07,BP Gas,transportation,57.56
2023-03-07,Holiday Inn,hotel,103.86
2023-03-08,Chick-fil-A,restaurant,112.47
2023-03-08,Chipotle,restaurant,93.33
2023-03-08,Red Lobster,restaurant,134.56
2023-03-08,Best Western,hotel,311.22
2023-03-09,Holiday Inn,hotel,332.63
2023-03-09,The Cheesecake Factory,restaurant,51.18
2023-03-09,Target,grocery,240.34
2023-03-11,Kroger,grocery,78.75
2023-03-11,Kroger,grocery,246.77
2023-03-11,Subway,restaurant,108.87
2023-03-11,Lyft,transportation,80.23
2023-03-12,Sheraton,hotel,302.71
2023-03-12,Target,grocery,197.11
2023-03-13,76 Gas,transportation,16.0
2023-03-13,Olive Garden,restaurant,73.24
2023-03-13,Trader Joes,grocery,47.62
2023-03-13,Amtrak,transportation,53.62
2023-03-15,McDonald's,restaurant,25.84
2023-03-15,Metro Transit,transportation,82.61
2023-03-15,McDonald's,restaurant,28.03
2023-03-16,Chick-fil-A,restaurant,78.49
2023-03-16,Comfort Inn,hotel,146.95
2023-03-17,Holiday Inn,hotel,191.31
2023-03-18,Red Lobster,restaurant,83.1
2023-03-18,Panera Bread,restaurant,95.43
2023-03-18,Starbucks,restaurant,49.5
2023-03-19,Marriott,hotel,212.9
2023-03-19,76 Gas,transportation,66.94
2023-03-20,Radisson,hotel,332.97
2023-03-20,Amtrak,transportation,47.99
2023-03-20,Olive Garden,restaurant,128.87
2023-03-20,Olive Garden,restaurant,45.01
2023-03-21,Safeway,grocery,82.84
2023-03-21,Comfort Inn,hotel,150.82
2023-03-21,McDonald's,restaurant,64.6
2023-03-23,Hilton,hotel,328.94
2023-03-23,Best Western,hotel,277.67
2023-03-24,Costco,grocery,56.95
2023-03-24,BP Gas,transportation,29.97
2023-03-25,Uber,transportation,77.22
2023-03-25,Chevron,transportation,6.97
2023-03-25,Taco Bell,restaurant,30.27
2023-03-25,Holiday Inn,hotel,131.46
2023-03-26,Walmart,grocery,37.83
2023-03-26,Marriott,hotel,186.75
2023-03-27,Target,grocery,241.1
2023-03-28,Whole Foods,grocery,111.36
2023-03-28,Chick-fil-A,restaurant,62.52
2023-03-28,BP Gas,transportation,33.79
2023-03-29,BP Gas,transportation,18.91
2023-03-30,Marriott,hotel,217.9
2023-03-31,Comfort Inn,hotel,264.89
2023-03-31,Trader Joes,grocery,46.21
2023-03-31,Olive Garden,restaurant,101.69
2023-03-31,Lyft,transportation,13.18
2023-03-31,McDonald's,restaurant,12.69
2023-04-01,Subway,restaurant,59.2
2023-04-03,Marriott,hotel,174.16
2023-04-03,Subway,restaurant,40.3
2023-04-03,Costco,grocery,92.97
2023-04-03,Chick-fil-A,restaurant,118.09
2023-04-03,Trader Joes,grocery,73.44
2023-04-04,76 Gas,transportation,28.91
2023-04-05,Chevron,transportation,19.0
2023-04-05,Olive Garden,restaurant,127.36
2023-04-05,Holiday Inn,hotel,229.11
2023-04-05,Marriott,hotel,347.76
2023-04-06,Aldi,grocery,29.95
2023-04-06,Radisson,hotel,316.73
2023-04-07,Marriott,hotel,180.35
2023-04-07,Safeway,grocery,70.32
2023-04-07,Chipotle,restaurant,12.46
2023-04-08,Comfort Inn,hotel,190.87
2023-04-12,Subway,restaurant,112.04
2023-04-12,Costco,grocery,29.84
2023-04-13,Trader Joes,grocery,249.86
2023-04-14,Trader Joes,grocery,78.68
2023-04-14,Walmart,grocery,74.14
2023-04-14,Red Lobster,restaurant,109.65
2023-04-15,Marriott,hotel,147.93
2023-04-16,Red Lobster,restaurant,148.55
2023-04-17,Holiday Inn,hotel,277.18
2023-04-18,Radisson,hotel,180.42
2023-04-18,Marriott,hotel,302.65
2023-04-19,Comfort Inn,hotel,326.62
2023-04-19,Panera Bread,restaurant,105.64
2023-04-19,Kroger,grocery,59.08
2023-04-20,Comfort Inn,hotel,287.47
2023-04-20,Panera Bread,restaurant,136.48
2023-04-20,Amtrak,transportation,37.3
2023-04-20,Panera Bread,restaurant,79.89
2023-04-21,Target,grocery,34.95
2023-04-21,Chevron,transportation,50.06
2023-04-21,Metro Transit,transportation,46.15
2023-04-21,Target,grocery,128.57
2023-04-22,BP Gas,transportation,14.96
2023-04-23,Panera Bread,restaurant,122.89
2023-04-23,Chick-fil-A,restaurant,53.81
2023-04-24,Panera Bread,restaurant,70.01
2023-04-24,Hyatt,hotel,112.33
2023-04-25,Target,grocery,235.44
2023-04-25,Red Lobster,restaurant,143.6
2023-04-25,Costco,grocery,191.7
2023-04-26,BP Gas,transportation,58.15
2023-04-27,BP Gas,transportation,30.32
2023-04-27,Whole Foods,grocery,245.97
2023-04-28,Metro Transit,transportation,79.35
2023-04-29,Kroger,grocery,34.71
2023-04-30,Metro Transit,transportation,75.19
2023-04-30,76 Gas,transportation,10.09
2023-04-30,Chevron,transportation,80.98
2023-05-01,Taco Bell,restaurant,15.36
2023-05-02,Sheraton,hotel,169.1
2023-05-02,Lyft,transportation,62.92
2023-05-04,Target,grocery,144.19
2023-05-04,Panera Bread,restaurant,94.39
2023-05-05,Chick-fil-A,restaurant,142.72
2023-05-05,Marriott,hotel,141.13
2023-05-05,Chick-fil-A,restaurant,146.11
2023-05-05,Target,grocery,178.73
2023-05-07,Chipotle,restaurant,41.95
2023-05-07,Starbucks,restaurant,80.48
2023-05-07,Radisson,hotel,113.6
2023-05-07,Walmart,grocery,239.27
2023-05-08,Metro Transit,transportation,23.22
2023-05-09,Chick-fil-A,restaurant,88.96
2023-05-09,McDonald's,restaurant,20.97
2023-05-09,Aldi,grocery,120.43
2023-05-10,Subway,restaurant,139.1
2023-05-10,Marriott,hotel,307.56
2023-05-11,Chipotle,restaurant,129.81
2023-05-11,Holiday Inn,hotel,320.12
2023-05-11,Radisson,hotel,344.1
2023-05-12,Aldi,grocery,31.61
2023-05-12,Panera Bread,restaurant,106.51
2023-05-14,Taco Bell,restaurant,59.46
2023-05-15,Olive Garden,restaurant,61.92
2023-05-15,Chipotle,restaurant,38.19
2023-05-15,BP Gas,transportation,56.73
2023-05-16,Hilton,hotel,284.0
2023-05-16,Trader Joes,grocery,211.52
2023-05-16,Marriott,hotel,203.42
2023-05-17,Starbucks,restaurant,117.58
2023-05-18,BP Gas,transportation,19.28
2023-05-18,Walmart,grocery,164.75
2023-05-18,Hilton,hotel,271.87
2023-05-18,The Cheesecake Factory,restaurant,56.7
2023-05-18,Red Lobster,restaurant,93.43
2023-05-19,Uber,transportation,77.16
2023-05-19,Aldi,grocery,245.02
2023-05-19,Holiday Inn,hotel,224.22
2023-05-20,Sheraton,hotel,143.2
2023-05-20,Panera Bread,restaurant,103.36
2023-05-20,Aldi,grocery,45.27
2023-05-20,Sheraton,hotel,225.17
2023-05-21,Kroger,grocery,57.02
2023-05-21,Amtrak,transportation,29.13
2023-05-21,Best Western,hotel,177.66
2023-05-21,Amtrak,transportation,47.08
2023-05-21,Costco,grocery,20.1
2023-05-22,Shell Gas Station,transportation,38.08
2023-05-22,Comfort Inn,hotel,104.81
2023-05-22,Whole Foods,grocery,150.29
2023-05-22,BP Gas,transportation,77.26
2023-05-22,The Cheesecake Factory,restaurant,99.84
2023-05-23,Walmart,grocery,178.61
2023-05-24,76 Gas,transportation,15.32
2023-05-24,Holiday Inn,hotel,153.36
2023-05-25,Sheraton,hotel,151.95
2023-05-25,Aldi,grocery,90.9
2023-05-26,Marriott,hotel,345.67
2023-05-27,Marriott,hotel,304.62
2023-05-27,Aldi,grocery,111.89
2023-05-29,Whole Foods,grocery,142.05
2023-05-29,Hilton,hotel,238.62
2023-05-30,Costco,grocery,81.56
2023-05-30,Whole Foods,grocery,28.71
2023-05-30,Metro Transit,transportation,52.87
2023-05-30,Hilton,hotel,274.85
2023-05-31,Whole Foods,grocery,30.56
2023-05-31,Sheraton,hotel,231.39
2023-05-31,Red Lobster,restaurant,31.33
2023-06-02,Whole Foods,grocery,247.68
2023-06-03,Kroger,grocery,43.64
2023-06-03,Subway,restaurant,85.66
2023-06-03,Shell Gas Station,transportation,66.33
2023-06-03,Red Lobster,restaurant,52.86
2023-06-03,Comfort Inn,hotel,283.56
2023-06-04,McDonald's,restaurant,48.61
2023-06-04,76 Gas,transportation,37.75
2023-06-04,Amtrak,transportation,38.5
2023-06-05,Uber,transportation,27.39
2023-06-07,Holiday Inn,hotel,89.57
2023-06-07,BP Gas,transportation,40.57
2023-06-09,Radisson,hotel,177.04
2023-06-10,Trader Joes,grocery,231.02
2023-06-11,Amtrak,transportation,10.69
2023-06-12,Chick-fil-A,restaurant,111.26
2023-06-12,Sheraton,hotel,318.13
2023-06-12,Walmart,grocery,213.85
2023-06-12,Subway,restaurant,20.99
2023-06-12,Hyatt,hotel,140.12
2023-06-12,Comfort Inn,hotel,209.93
2023-06-13,Chevron,transportation,63.16
2023-06-13,Lyft,transportation,69.36
2023-06-13,BP Gas,transportation,19.45
2023-06-13,Olive Garden,restaurant,44.2
2023-06-14,Radisson,hotel,326.39
2023-06-15,Comfort Inn,hotel,121.89
2023-06-15,Taco Bell,restaurant,48.85
2023-06-15,Hilton,hotel,345.27
2023-06-16,Target,grocery,150.24
2023-06-16,76 Gas,transportation,14.76
2023-06-16,BP Gas,transportation,69.53
2023-06-16,Chipotle,restaurant,64.04
2023-06-16,Hilton,hotel,168.67
2023-06-17,Aldi,grocery,132.33
2023-06-17,Hyatt,hotel,155.4
2023-06-17,Radisson,hotel,171.91
2023-06-18,BP Gas,transportation,53.57
2023-06-19,Whole Foods,grocery,96.93
2023-06-19,Holiday Inn,hotel,322.27
2023-06-20,Panera Bread,restaurant,116.79
2023-06-20,Olive Garden,restaurant,42.12
2023-06-21,Aldi,grocery,59.94
2023-06-22,Best Western,hotel,178.47
2023-06-22,Holiday Inn,hotel,314.73
2023-06-24,Chipotle,restaurant,130.22
2023-06-25,Hilton,hotel,263.7
2023-06-26,Trader Joes,grocery,158.34
2023-06-26,Whole Foods,grocery,32.72
2023-06-27,Safeway,grocery,33.11
2023-06-27,Sheraton,hotel,148.92
2023-06-29,Target,grocery,227.62
2023-06-29,Radisson,hotel,124.0
2023-06-30,Olive Garden,restaurant,136.75
2023-06-30,Chipotle,restaurant,130.77
2023-07-01,Marriott,hotel,240.05
2023-07-03,Olive Garden,restaurant,40.24
2023-07-03,Comfort Inn,hotel,93.52
2023-07-03,Best Western,hotel,332.6
2023-07-03,Metro Transit,transportation,65.44
2023-07-04,BP Gas,transportation,20.2
2023-07-04,Trader Joes,grocery,140.27
2023-07-04,Uber,transportation,83.81
2023-07-04,76 Gas,transportation,57.39
2023-07-04,McDonald's,restaurant,109.69
2023-07-06,Chick-fil-A,restaurant,23.21
2023-07-07,Holiday Inn,hotel,282.09
2023-07-07,Walmart,grocery,93.83
2023-07-09,Chick-fil-A,restaurant,140.15
2023-07-09,BP Gas,transportation,47.23
2023-07-09,Whole Foods,grocery,31.84
2023-07-09,Shell Gas Station,transportation,58.54
2023-07-09,Metro Transit,transportation,57.22
2023-07-09,Subway,restaurant,81.72
2023-07-10,Hyatt,hotel,343.97
2023-07-10,Panera Bread,restaurant,81.7
2023-07-11,Sheraton,hotel,314.74
2023-07-11,Whole Foods,grocery,163.85
2023-07-11,Starbucks,restaurant,76.59
2023-07-11,Shell Gas Station,transportation,52.99
2023-07-12,Walmart,grocery,94.44
2023-07-12,Subway,restaurant,122.93
2023-07-13,Marriott,hotel,123.07
2023-07-13,Holiday Inn,hotel,237.63
2023-07-14,Walmart,grocery,118.53
2023-07-15,Chevron,transportation,17.07
2023-07-15,Trader Joes,grocery,19.88
2023-07-15,Shell Gas Station,transportation,32.04
2023-07-15,Walmart,grocery,136.97
2023-07-15,Uber,transportation,67.75
2023-07-16,Trader Joes,grocery,187.35
2023-07-16,Aldi,grocery,184.46
2023-07-16,Marriott,hotel,138.41
2023-07-17,Hilton,hotel,288.07
2023-07-17,Subway,restaurant,68.76
2023-07-17,Comfort Inn,hotel,192.99
2023-07-18,Chick-fil-A,restaurant,61.19
2023-07-19,Amtrak,transportation,22.64
2023-07-20,Kroger,grocery,206.55
2023-07-21,Chick-fil-A,restaurant,68.69
2023-07-22,Olive Garden,restaurant,69.98
2023-07-22,Aldi,grocery,206.26
2023-07-23,McDonald's,restaurant,26.21
2023-07-24,Panera Bread,restaurant,60.99
2023-07-24,Panera Bread,restaurant,107.08
2023-07-25,Aldi,grocery,204.18
2023-07-26,Chick-fil-A,restaurant,92.22
2023-07-26,Amtrak,transportation,45.26
2023-07-26,Shell Gas Station,transportation,75.78
2023-07-26,Starbucks,restaurant,64.08
2023-07-26,Kroger,grocery,163.13
2023-07-27,Costco,grocery,132.43
2023-07-28,Comfort Inn,hotel,276.08
2023-07-29,Whole Foods,grocery,211.07
2023-07-29,Hyatt,hotel,213.11
2023-07-29,Taco Bell,restaurant,16.59
2023-07-29,Metro Transit,transportation,78.85
2023-07-30,Metro Transit,transportation,80.75
2023-07-30,Hilton,hotel,232.46
2023-07-30,BP Gas,transportation,7.59
2023-07-31,Holiday Inn,hotel,340.26
2023-08-01,Best Western,hotel,236.63
2023-08-01,Trader Joes,grocery,49.79
2023-08-01,Amtrak,transportation,26.89
2023-08-01,Hyatt,hotel,139.54
2023-08-02,Whole Foods,grocery,171.36
2023-08-03,Subway,restaurant,71.81
2023-08-04,Comfort Inn,hotel,302.16
2023-08-05,Whole Foods,grocery,55.3
2023-08-06,Shell Gas Station,transportation,26.59
2023-08-07,Red Lobster,restaurant,44.78
2023-08-08,McDonald's,restaurant,60.9
2023-08-09,Costco,grocery,227.22
2023-08-09,Lyft,transportation,44.24
2023-08-10,Starbucks,restaurant,81.85
2023-08-10,Marriott,hotel,337.22
2023-08-10,Holiday Inn,hotel,191.82
2023-08-11,Whole Foods,grocery,80.49
2023-08-11,Hyatt,hotel,308.6
2023-08-11,The Cheesecake Factory,restaurant,68.04
2023-08-11,Lyft,transportation,15.62
2023-08-11,Holiday Inn,hotel,164.2
2023-08-12,76 Gas,transportation,59.68
2023-08-13,Red Lobster,restaurant,136.12
2023-08-13,Metro Transit,transportation,79.63
2023-08-13,Uber,transportation,29.73
2023-08-13,Whole Foods,grocery,87.92
2023-08-14,Target,grocery,120.25
2023-08-14,Safeway,grocery,72.41
2023-08-14,Panera Bread,restaurant,12.76
2023-08-14,Chipotle,restaurant,44.57
2023-08-15,Starbucks,restaurant,115.18
2023-08-15,Walmart,grocery,42.48
2023-08-16,Safeway,grocery,134.74
2023-08-16,Lyft,transportation,53.48
2023-08-16,Best Western,hotel,347.24
2023-08-16,Marriott,hotel,198.96
2023-08-19,Aldi,grocery,248.45
2023-08-19,Best Western,hotel,161.4
2023-08-19,Lyft,transportation,38.46
2023-08-20,Best Western,hotel,193.37
2023-08-20,Target,grocery,135.51
2023-08-21,Red Lobster,restaurant,142.89
2023-08-21,76 Gas,transportation,81.02
2023-08-21,Whole Foods,grocery,167.57
2023-08-22,Comfort Inn,hotel,174.42
2023-08-22,BP Gas,transportation,50.97
2023-08-23,Safeway,grocery,21.39
2023-08-23,Amtrak,transportation,25.86
2023-08-24,Chipotle,restaurant,141.75
2023-08-24,Radisson,hotel,301.74
2023-08-25,Walmart,grocery,218.05
2023-08-25,Aldi,grocery,220.03
2023-08-25,Hilton,hotel,161.33
2023-08-25,The Cheesecake Factory,restaurant,144.84
2023-08-26,Target,grocery,135.93
2023-08-26,Radisson,hotel,121.07
2023-08-26,Amtrak,transportation,26.04
2023-08-26,Hilton,hotel,212.99
2023-08-26,Shell Gas Station,transportation,68.98
2023-08-26,Hilton,hotel,304.81
2023-08-26,Kroger,grocery,180.75
2023-08-27,Lyft,transportation,64.05
2023-08-28,Costco,grocery,103.05
2023-08-28,Red Lobster,restaurant,140.94
2023-08-29,The Cheesecake Factory,restaurant,50.84
2023-08-29,Hilton,hotel,147.71
2023-08-30,Target,grocery,174.69
2023-08-31,Uber,transportation,10.11
2023-09-01,Target,grocery,204.58
2023-09-01,Best Western,hotel,127.9
2023-09-02,Metro Transit,transportation,22.28
2023-09-03,Comfort Inn,hotel,207.34
2023-09-03,Chick-fil-A,restaurant,69.85
2023-09-03,Best Western,hotel,95.8
2023-09-03,Metro Transit,transportation,15.85
2023-09-03,Hilton,hotel,209.54
2023-09-03,Costco,grocery,144.66
2023-09-04,McDonald's,restaurant,98.69
2023-09-04,The Cheesecake Factory,restaurant,90.95
2023-09-04,The Cheesecake Factory,restaurant,116.06
2023-09-04,Hyatt,hotel,196.45
2023-09-04,Lyft,transportation,79.1
2023-09-04,Hilton,hotel,220.91
2023-09-05,Radisson,hotel,280.21
2023-09-05,Lyft,transportation,35.01
2023-09-05,Taco Bell,restaurant,35.34
2023-09-08,Target,grocery,54.54
2023-09-08,Subway,restaurant,98.99
2023-09-09,The Cheesecake Factory,restaurant,125.52
2023-09-09,The Cheesecake Factory,restaurant,111.7
2023-09-09,Hyatt,hotel,191.38
2023-09-10,Metro Transit,transportation,38.2
2023-09-10,Aldi,grocery,149.87
2023-09-11,Sheraton,hotel,270.67
2023-09-12,Trader Joes,grocery,242.6
2023-09-12,Whole Foods,grocery,177.18
2023-09-12,Radisson,hotel,230.37
2023-09-13,Holiday Inn,hotel,268.6
2023-09-13,Chick-fil-A,restaurant,49.71
2023-09-13,Safeway,grocery,159.2
2023-09-15,76 Gas,transportation,32.6
2023-09-16,76 Gas,transportation,33.51
2023-09-16,Starbucks,restaurant,105.67
2023-09-16,BP Gas,transportation,21.06
2023-09-16,Metro Transit,transportation,28.19
2023-09-16,Uber,transportation,27.41
2023-09-17,Subway,restaurant,40.55
2023-09-18,Starbucks,restaurant,148.51
2023-09-18,Starbucks,restaurant,105.71
2023-09-18,Hyatt,hotel,348.48
2023-09-18,Amtrak,transportation,25.45
2023-09-18,Lyft,transportation,83.89
2023-09-18,Trader Joes,grocery,144.34
2023-09-19,Panera Bread,restaurant,74.45
2023-09-19,Sheraton,hotel,329.55
2023-09-20,Trader Joes,grocery,137.12
2023-09-20,Trader Joes,grocery,211.17
2023-09-22,Costco,grocery,88.8
2023-09-23,Chevron,transportation,74.99
2023-09-23,Hilton,hotel,172.69
2023-09-23,Starbucks,restaurant,138.96
2023-09-24,Uber,transportation,51.83
2023-09-24,Uber,transportation,64.82
2023-09-25,BP Gas,transportation,70.72
2023-09-28,Hilton,hotel,289.2
2023-09-28,Metro Transit,transportation,32.02
2023-09-29,76 Gas,transportation,73.81
2023-09-29,Metro Transit,transportation,82.93
2023-09-30,Kroger,grocery,21.72
2023-09-30,Sheraton,hotel,196.54
2023-09-30,76 Gas,transportation,76.69
2023-09-30,The Cheesecake Factory,restaurant,113.32
2023-09-30,Comfort Inn,hotel,304.13
2023-10-01,Shell Gas Station,transportation,62.72
2023-10-01,Starbucks,restaurant,137.71
2023-10-01,Aldi,grocery,197.9
2023-10-01,Radisson,hotel,144.19
2023-10-02,Olive Garden,restaurant,146.14
2023-10-02,Metro Transit,transportation,8.68
2023-10-03,Target,grocery,39.92
2023-10-03,Target,grocery,205.8
2023-10-03,Lyft,transportation,25.98
2023-10-04,Red Lobster,restaurant,114.77
2023-10-04,Comfort Inn,hotel,244.67
2023-10-04,Sheraton,hotel,132.86
2023-10-05,Metro Transit,transportation,46.78
2023-10-05,Hilton,hotel,284.04
2023-10-05,BP Gas,transportation,6.36
2023-10-06,Uber,transportation,73.77
2023-10-07,Trader Joes,grocery,97.4
2023-10-08,Metro Transit,transportation,75.91
2023-10-08,Best Western,hotel,132.68
2023-10-08,Trader Joes,grocery,99.59
2023-10-09,Safeway,grocery,127.85
2023-10-11,Comfort Inn,hotel,183.66
2023-10-11,Panera Bread,restaurant,101.37
2023-10-13,Taco Bell,restaurant,118.81
2023-10-14,McDonald's,restaurant,53.21
2023-10-15,Target,grocery,29.13
2023-10-16,The Cheesecake Factory,restaurant,32.41
2023-10-17,Starbucks,restaurant,78.23
2023-10-17,Starbucks,restaurant,32.8
2023-10-17,Hyatt,hotel,109.21
2023-10-17,Starbucks,restaurant,120.84
2023-10-18,BP Gas,transportation,22.13
2023-10-20,Comfort Inn,hotel,139.35
2023-10-20,76 Gas,transportation,57.74
2023-10-20,The Cheesecake Factory,restaurant,92.81
2023-10-21,Sheraton,hotel,333.53
2023-10-22,Safeway,grocery,231.37
2023-10-22,Starbucks,restaurant,93.34
2023-10-22,Sheraton,hotel,221.67
2023-10-22,Whole Foods,grocery,102.52
2023-10-24,Best Western,hotel,109.22
2023-10-25,BP Gas,transportation,48.63
2023-10-25,Costco,grocery,118.67
2023-10-26,Aldi,grocery,156.68
2023-10-27,Costco,grocery,218.0
2023-10-27,Hilton,hotel,243.51
2023-10-28,McDonald's,restaurant,105.83
2023-10-28,Aldi,grocery,224.0
2023-10-28,Taco Bell,restaurant,128.64
2023-10-29,Trader Joes,grocery,39.37
2023-10-29,Panera Bread,restaurant,100.98
2023-10-30,76 Gas,transportation,71.19
2023-10-31,Uber,transportation,25.75
2023-10-31,Radisson,hotel,290.9
2023-10-31,Comfort Inn,hotel,138.16
2023-11-01,Comfort Inn,hotel,324.73
2023-11-01,Shell Gas Station,transportation,42.81
2023-11-01,Target,grocery,222.76
2023-11-01,Chick-fil-A,restaurant,11.56
2023-11-02,Metro Transit,transportation,73.83
2023-11-02,The Cheesecake Factory,restaurant,142.99
2023-11-03,The Cheesecake Factory,restaurant,58.58
2023-11-03,Trader Joes,grocery,77.96
2023-11-04,Kroger,grocery,119.45
2023-11-04,Target,grocery,229.68
2023-11-04,Target,grocery,41.77
2023-11-04,Taco Bell,restaurant,103.48
2023-11-04,Amtrak,transportation,20.45
2023-11-04,Comfort Inn,hotel,155.35
